,x,y,std
0,0.0,0.9688041038535093,0.14739337704730587
1,2.01,1.7548205271994164,0.30735081205034537
2,4.11,2.9979509612807074,0.2893169594764717
3,6.09,3.62700063019109,0.1949677867988938
4,7.74,4.3616742188422695,0.2716851755095421
5,9.68,4.884175536408527,0.7993213380451949
6,7.81,4.451325077839547,0.29650562683992493
7,7.92,4.126113164136593,0.7384508268721284
8,6.03,3.833421613174987,0.22848378295123203
9,4.06,2.8070402531935654,0.447284887386364
10,2.04,1.8922420098257389,0.33082079060379854
